Tree,Date,Observers,Note,Phase,# Old Bracts,% Old Fruit,Color Old Fruit (1-3),# New Bracts,% New Fruit,Color New Fruit (1-3),Flowers on ground (0-3),,,,,,,,,,,,,,
19,05/01/2018,Zephyr,,,0,0,,0,,,0,,,,,,,,,,,,,,
18,05/01/2018,Zephyr,,,0,0,,0,,,0,,,,,,,,,,,,,,
1,05/01/2018,Zephyr,,,9,0,,0,,,0,,,,,,,,,,,,,,
0,05/01/2018,Zephyr,,,0,0,,0,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,18/01/2018,Zephyr,,,0,0,,0,0,,0,,,,,,,,,,,,,,
1,18/01/2018,Zephyr,,,3,0,,0,0,,0,,,,,,,,,,,,,,
18,18/01/2018,Zephyr,,,0,0,,0,0,,0,,,,,,,,,,,,,,
19,18/01/2018,Zephyr,,,0,0,,0,0,,0,,,,,,,,,,,,,,
2,18/01/2018,Zephyr,The one bract looks new,,1,0,,0,0,,0,,,,,,,,,,,,,,
3,18/01/2018,Zephyr,,,5,0,,0,0,,0,,,,,,,,,,,,,,
15,18/01/2018,Zephyr,,,3,120,,0,0,,0,,,,,,,,,,,,,,
10,18/01/2018,Zephyr,,,3,20,,0,0,,0,,,,,,,,,,,,,,
5,18/01/2018,Zephyr,,,1,0,,0,0,,0,,,,,,,,,,,,,,
14,18/01/2018,Zephyr,Eaten by some animals,,4,0,,0,0,,0,,,,,,,,,,,,,,
7,18/01/2018,Zephyr,,,1,0,,0,0,,0,,,,,,,,,,,,,,
17,18/01/2018,Zephyr,,,5,450,,0,0,,0,,,,,,,,,,,,,,
16,18/01/2018,Zephyr,check again with binoculars,,5,20,,3,45,,0,,,,,,,,,,,,,,
12,18/01/2018,Zephyr,,,0,0,,1,30,,0,,,,,,,,,,,,,,
11,18/01/2018,Zephyr,90.6cm,,2,0,,0,0,,0,,,,,,,,,,,,,,
13,18/01/2018,Zephyr,,,4,220,,2,150,,0,,,,,,,,,,,,,,
6,18/01/2018,Zephyr,,,2,0,,0,0,,0,,,,,,,,,,,,,,
9,18/01/2018,Zephyr,,,2,0,,0,0,,0,,,,,,,,,,,,,,
8,18/01/2018,Zephyr,2 higher colours,,7,0,,0,0,,0,,,,,,,,,,,,,,
4,18/01/2018,Zephyr,"195cm with the fig, 100cm without",,1,0,,0,0,,0,,,,,,,,,,,,,,
,,,Notes below difficult for me to decipher (MIW),,,,,,,,,,,,,,,,,,,,,,
0,01/02/2018,Johana,,,0,0,,0,0,,0,,,,,,,,,,,,,,
1,01/02/2018,Johana,(foto) verificos **sunflo**,,3,0,,0,0,,?,,,,,,,,,,,,,,
18,01/02/2018,Johana,bracts cortados,,0,0,,0,0,,0,,,,,,,,,,,,,,
19,01/02/2018,Johana,(foto) el bract contado en solo una tinto. verifican,,0,0,,1,0,,0,,,,,,,,,,,,,,
2,01/02/2018,Johana,(foto) Flor roja??,,1,0,,0,0,,?,,,,,,,,,,,,,,
